subject, fuzzer, trial, total, tte, crashes
aspell_aspell_fuzzer, aflchurn_texp05, trial-757209, 43201, 1008,  3
aspell_aspell_fuzzer, aflchurn_texp05, trial-757217, 82657, 6586,  10
aspell_aspell_fuzzer, aflchurn_texp05, trial-757205, 82774, 8195,  14
aspell_aspell_fuzzer, aflchurn_texp05, trial-757220, 82790, 7776,  40
aspell_aspell_fuzzer, aflchurn_texp05, trial-763065, 80103, 1620,  7
aspell_aspell_fuzzer, aflchurn_texp05, trial-757210, 82788, 8676,  18
aspell_aspell_fuzzer, aflchurn_texp05, trial-757218, 82765, 2302,  23
aspell_aspell_fuzzer, aflchurn_texp05, trial-757211, 82730, 7228,  3
aspell_aspell_fuzzer, aflchurn_texp05, trial-758221, 82453, 974,  4
aspell_aspell_fuzzer, aflchurn_texp05, trial-763005, 82670, 16303,  9
aspell_aspell_fuzzer, aflchurn_texp05, trial-757216, 82003, 9740,  4
aspell_aspell_fuzzer, aflchurn_texp05, trial-757214, 82786, 1125,  6
aspell_aspell_fuzzer, aflchurn_texp05, trial-757215, 82780, 1844,  15
aspell_aspell_fuzzer, aflchurn_texp05, trial-757213, 82767, 1407,  35
aspell_aspell_fuzzer, aflchurn_texp05, trial-757219, 2693, 956,  1
aspell_aspell_fuzzer, aflchurn_texp05, trial-757953, 9882, 1830,  1
aspell_aspell_fuzzer, aflchurn_texp05, trial-757885, 82079, 11922,  8
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755362, 82371, 2011,  6
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755368, 82667, 6991,  17
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755361, 82786, 10742,  3
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755363, 43198, 1389,  3
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755364, 82595, 1306,  2
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755370, 82482, 945,  8
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755369, 82603, 1671,  7
